gene,pvalues,padj
KRAS,1.57421776535192e-116,2.83941658336526e-112
BRAF,7.42334391260436e-09,6.69474270758224e-05
PCBP1,0.000282350537672739,1
PIK3CA,0.000462848102248956,1
ZNF462,0.000517908687745483,1
VWA7,0.000596746643588756,1
YLPM1,0.000880159022240288,1
POLR1A,0.0010682152670797,1
ITGA1,0.00108405010657492,1
F8,0.0014386326483805,1
NES,0.00149841841172711,1
OR51I2,0.0017570123455087,1
SH3TC1,0.00186647028655868,1
TM7SF3,0.00196161594716502,1
DOCK3,0.0021216628751416,1
MROH1,0.00232371488849586,1
NEFM,0.00232371488849586,1
NWD2,0.00251199725020488,1
MUC6,0.00255178536613936,1
EXOSC10,0.00327944772566331,1
LAMB3,0.00327944772566331,1
MCM4,0.00327944772566331,1
CHD7,0.00328845596678426,1
ADAMTS15,0.00358524896193376,1
CEL,0.00358524896193376,1
ITGA9,0.00358524896193376,1
RNF103,0.00358524896193376,1
ZNF608,0.00358524896193376,1
GPRASP1,0.00400741507008998,1
CDK12,0.00405391126144708,1
KIF26A,0.00430277793926303,1
SCN3A,0.00454470601673962,1
SLC1A3,0.00461601902848489,1
STRIP2,0.00468248579244021,1
MTA2,0.00579086721629325,1
PTCH2,0.00579086721629325,1
TCHH,0.00601401450385192,1
ARC,0.00662649607789612,1
BRSK2,0.00662649607789612,1
CPB2,0.00662649607789612,1
ECE1,0.00662649607789612,1
ERCC3,0.00662649607789612,1
GLB1,0.00662649607789612,1
HPS1,0.00662649607789612,1
MVP,0.00662649607789612,1
PRL,0.00662649607789612,1
RHOBTB3,0.00662649607789612,1
RREB1,0.00662649607789612,1
SLC25A23,0.00662649607789612,1
SLC44A4,0.00662649607789612,1
TMEM200C,0.00662649607789612,1
FGD5,0.00691227428852122,1
ITGB4,0.00691227428852122,1
KCND3,0.00691227428852122,1
KDM3B,0.00697009223651606,1
PCDHGA7,0.00697009223651606,1
COL7A1,0.00748141519393152,1
LRP1,0.0075026778236983,1
ZNF761,0.00915834634046249,1
AMMECR1L,0.00916156437300964,1
FUT2,0.00916156437300964,1
SEC16A,0.00962131608796319,1
ARAP2,0.00962203248337149,1
CDON,0.00962203248337149,1
ZFHX4,0.00967701907481643,1
ACVR2B,0.0102619910397766,1
CUL7,0.0102619910397766,1
MAP3K9,0.0102619910397766,1
REV1,0.0102619910397766,1
SLC27A1,0.0102619910397766,1
SNAPC4,0.0102619910397766,1
TNPO1,0.0102619910397766,1
WNT1,0.0102619910397766,1
ARID1A,0.0104485692829349,1
HCFC1,0.0105122281754784,1
HIVEP2,0.0105122281754784,1
DECR2,0.0109674798679052,1
FST,0.0109674798679052,1
ING3,0.0109674798679052,1
MEMO1,0.0109674798679052,1
NKD1,0.0109674798679052,1
OPHN1,0.0109674798679052,1
TMEM161A,0.0109674798679052,1
TPI1,0.0109674798679052,1
TRMT5,0.0109674798679052,1
MACF1,0.0110170625718612,1
CYLC1,0.0112867139389568,1
PLA2R1,0.0112867139389568,1
DDX58,0.0117100991834842,1
EOMES,0.0117100991834842,1
MFI2,0.0117100991834842,1
PFKP,0.0117100991834842,1
RBP3,0.0117100991834842,1
ULK1,0.0117100991834842,1
USP15,0.0117100991834842,1
BTBD7,0.0118958376540507,1
VWA5B2,0.0118958376540507,1
ANO10,0.012390445908322,1
ARHGEF28,0.012390445908322,1
CAPN11,0.012390445908322,1
CCDC8,0.012390445908322,1
CDC25A,0.012390445908322,1
CYP3A7,0.012390445908322,1
EEF2,0.012390445908322,1
FZD1,0.012390445908322,1
GDF10,0.012390445908322,1
IDH3G,0.012390445908322,1
IDS,0.012390445908322,1
KLHL32,0.012390445908322,1
KRT17,0.012390445908322,1
MAPK10,0.012390445908322,1
MNDA,0.012390445908322,1
PHACTR1,0.012390445908322,1
RAE1,0.012390445908322,1
RIOK1,0.012390445908322,1
SLC22A3,0.012390445908322,1
ZNF554,0.012390445908322,1
TTC28,0.0126411714276447,1
CACNA1C,0.0135609542654803,1
NF1,0.0148028576854436,1
CELSR2,0.0165373862514346,1
ITPR3,0.0165693552950937,1
WDFY4,0.0166984380153765,1
PCDHA5,0.0168345907525381,1
ENOX2,0.0180603982715335,1
MAB21L1,0.0180701406070627,1
TFR2,0.0180701406070627,1
BRCA1,0.018207135712493,1
CYP1B1,0.018207135712493,1
